username,numPosts,numFollowers,numFollowing
ControlyourLosses,8558,403,93
ibdt,1541,124,15
PorkBellies,291,14,9
cinnamonGirl,124,21,155
ElliottAnalyst,40,148,140
LukeKramer,21900,467,51
Exmns3001,10498,192,17
trader1906,91,50,24
grifmaster1,433,8,10
CapitalMarketLabs,58731,7683,2
TheAnt,117,17,16
ElliottWaveTech,19,7,12
powerpoints_net,177,33,3
JRios,6,6,120
BoydHunt,957,74,32
brandon873,1313,75,9
btraderr,305,15,20
TRADER727,658,65,2
ManyRatings,9944,514,0
caribeq,6345,171,64
dannyyounes,5,16,96
JFDI,7263,9692,50
fullybuttered,2405,87,39
Zolio,977,8832,63
kshah,70,5,26
AnneTrader,231,40,80
pach,1392,2217,0
GrowthStock,18,70,20
YazzJr,16412,160,104
moradelk,477,10,62
FoolBiotech,174,145,6
wilcz21,579,6,1
AngelofDeath,6778,37,18
HardAssetsInvestor,403,9614,0
wallstreetraderpt,908,56,101
traderderic,540,4714,3
ILL_NOIS,1120,12,21
Blaise12345,1547,11,16
redacre,763,13238,11
SMCHARTcom,340,127,154
StockGoodies,7,27,4
SDstocker,1977,28,27
dealnay,616,36,9
Thebagholder,146,5,19
stalkstocks,2140,17,35
MonkeyRally,22,14,0
krupy113,3381,126,250
victormora,326,129,18
SurfSM,96,64,0
supradsw,902,18,10
BESKST,2499,24,44
eyepoke,500,13,5
gettiup,3797,137,5
mjhaas01,341,10,1
Genyko,3544,91,0
TradingJesus,345,70,8
SwingSpotter,154,21,6
E77,235,6,0
arbit2ageur,3764,121,14
DashBoogie,934,25,17
jesparza,336,8,10
NovaPharma,1016,180,11
zmansenergybrain,18,67,12
chgotrader,175,32,1
STOCKSandCOMM,589,147,0
Key2Success,1478,86,30
RobinF_KiTTy,8095,80,70
SwingOps,213,41,11
energy_stocks,8,134,6
StadlerStocks,720,50,2
Katt10,606,35,3
leofig123,1130,9,3
washpa,1338,17,13
elijahwc,128,10,31
zorgnak,221,35,31
boilerup,1680,28,23
MarketBender,5647,185,46
ArizonaTrader,546,91,56
Pastramiking,2457,75,156
swingtradealert,672,367,33
shaneblackmon,30,26,3
Billy_D_Scrillions,11249,213,8
acz600,29,17,0
Dedwardssays,23,30,21
EnhydrisPECorp,130,49,4
StockTrader2013,1442,120,95
SureShot76,598,11,8
GILLOVE,306,11,26
CEWA,478,151,38
slvrser,1012,33,0
MOJODAYTRADING,27,67,1
Lamont_,2776,26,2
vedanup,2502,8453,51
LowRiskHighProb,153,26,20
contrarianspeculator,7015,672,0
elliottwavesource,528,88,5
OndasElliott,169,28,12
RuVuCapital,100,10,25
